model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	magentic	oat.s42	DONE	91	91	0	0
qwen3.5-9b	magentic	oat.s43	DONE	91	91	0	0
qwen3.5-9b	magentic	oat.s44	DONE	91	91	0	0
qwen3.5-9b	magentic	oat.s45	DONE	91	91	0	0
qwen3.5-9b	magentic	oat.s46	DONE	91	91	0	0
qwen3.5-9b	captain	oat.s42	DONE	85	85	0	0
qwen3.5-9b	captain	oat.s43	DONE	85	85	0	0
qwen3.5-9b	captain	oat.s44	DONE	85	85	0	0
qwen3.5-9b	captain	oat.s45	DONE	85	85	0	0
qwen3.5-9b	captain	oat.s46	DONE	85	85	0	0
qwen3.5-9b	swe	oat.s42	DONE	44	44	0	0
qwen3.5-9b	swe	oat.s43	DONE	44	44	0	0
qwen3.5-9b	swe	oat.s44	DONE	44	44	0	0
qwen3.5-9b	swe	oat.s45	DONE	44	44	0	0
qwen3.5-9b	swe	oat.s46	DONE	44	44	0	0
deepseek-8b	magentic	oat.s42	DONE	91	91	0	0
deepseek-8b	magentic	oat.s43	DONE	91	91	0	0
deepseek-8b	magentic	oat.s44	DONE	91	91	0	0
deepseek-8b	magentic	oat.s45	DONE	91	91	0	0
deepseek-8b	magentic	oat.s46	DONE	91	91	0	0
deepseek-8b	captain	oat.s42	DONE	85	85	0	0
deepseek-8b	captain	oat.s43	DONE	85	85	0	0
deepseek-8b	captain	oat.s44	DONE	85	85	0	0
deepseek-8b	captain	oat.s45	DONE	85	85	0	0
deepseek-8b	captain	oat.s46	DONE	85	85	0	0
deepseek-8b	swe	oat.s42	DONE	44	44	0	0
deepseek-8b	swe	oat.s43	DONE	44	44	0	0
deepseek-8b	swe	oat.s44	DONE	44	44	0	0
deepseek-8b	swe	oat.s45	DONE	44	44	0	0
deepseek-8b	swe	oat.s46	DONE	44	44	0	0
