model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	arc	oat.s42	DONE	304	304	0	0
qwen3.5-9b	arc	oat.s43	DONE	304	304	0	0
qwen3.5-9b	arc	oat.s44	DONE	304	304	0	0
qwen3.5-9b	arc	oat.s45	DONE	304	304	0	0
qwen3.5-9b	arc	oat.s46	DONE	304	304	0	0
qwen3.5-9b	gaia	oat.s42	DONE	50	50	0	0
qwen3.5-9b	gaia	oat.s43	DONE	50	50	0	0
qwen3.5-9b	gaia	oat.s44	DONE	50	50	0	0
qwen3.5-9b	gaia	oat.s45	DONE	50	50	0	0
qwen3.5-9b	gaia	oat.s46	DONE	50	50	0	0
qwen3.5-9b	hotpot	oat.s42	DONE	578	578	0	0
qwen3.5-9b	hotpot	oat.s43	DONE	578	578	0	0
qwen3.5-9b	hotpot	oat.s44	DONE	578	578	0	0
qwen3.5-9b	hotpot	oat.s45	DONE	578	578	0	0
qwen3.5-9b	hotpot	oat.s46	DONE	578	578	0	0
qwen3.5-9b	math500	oat.s42	DONE	157	157	0	0
qwen3.5-9b	math500	oat.s43	DONE	157	157	0	0
qwen3.5-9b	math500	oat.s44	DONE	157	157	0	0
qwen3.5-9b	math500	oat.s45	DONE	157	157	0	0
qwen3.5-9b	math500	oat.s46	DONE	157	157	0	0
qwen3.5-9b	mmlu_pro	oat.s42	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	oat.s43	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	oat.s44	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	oat.s45	DONE	92	92	0	0
qwen3.5-9b	mmlu_pro	oat.s46	DONE	92	92	0	0
qwen3.5-9b	musique	oat.s42	DONE	312	312	0	0
qwen3.5-9b	musique	oat.s43	DONE	312	312	0	0
qwen3.5-9b	musique	oat.s44	DONE	312	312	0	0
qwen3.5-9b	musique	oat.s45	DONE	312	312	0	0
qwen3.5-9b	musique	oat.s46	DONE	312	312	0	0
qwen3.5-9b	wikimqa	oat.s42	DONE	733	733	0	0
qwen3.5-9b	wikimqa	oat.s43	DONE	733	733	0	0
qwen3.5-9b	wikimqa	oat.s44	DONE	733	733	0	0
qwen3.5-9b	wikimqa	oat.s45	DONE	733	733	0	0
qwen3.5-9b	wikimqa	oat.s46	DONE	733	733	0	0
deepseek-8b	arc	oat.s42	DONE	304	304	0	0
deepseek-8b	arc	oat.s43	DONE	304	304	0	0
deepseek-8b	arc	oat.s44	DONE	304	304	0	0
deepseek-8b	arc	oat.s45	DONE	304	304	0	0
deepseek-8b	arc	oat.s46	DONE	304	304	0	0
deepseek-8b	gaia	oat.s42	DONE	50	50	0	0
deepseek-8b	gaia	oat.s43	DONE	50	50	0	0
deepseek-8b	gaia	oat.s44	DONE	50	50	0	0
deepseek-8b	gaia	oat.s45	DONE	50	50	0	0
deepseek-8b	gaia	oat.s46	DONE	50	50	0	0
deepseek-8b	hotpot	oat.s42	DONE	578	578	0	0
deepseek-8b	hotpot	oat.s43	DONE	578	578	0	0
deepseek-8b	hotpot	oat.s44	DONE	578	578	0	0
deepseek-8b	hotpot	oat.s45	DONE	578	578	0	0
deepseek-8b	hotpot	oat.s46	DONE	578	578	0	0
deepseek-8b	math500	oat.s42	DONE	157	157	0	0
deepseek-8b	math500	oat.s43	DONE	157	157	0	0
deepseek-8b	math500	oat.s44	DONE	157	157	0	0
deepseek-8b	math500	oat.s45	DONE	157	157	0	0
deepseek-8b	math500	oat.s46	DONE	157	157	0	0
deepseek-8b	mmlu_pro	oat.s42	DONE	92	92	0	0
deepseek-8b	mmlu_pro	oat.s43	DONE	92	92	0	0
deepseek-8b	mmlu_pro	oat.s44	DONE	92	92	0	0
deepseek-8b	mmlu_pro	oat.s45	DONE	92	92	0	0
deepseek-8b	mmlu_pro	oat.s46	DONE	92	92	0	0
deepseek-8b	musique	oat.s42	DONE	312	312	0	0
deepseek-8b	musique	oat.s43	DONE	312	312	0	0
deepseek-8b	musique	oat.s44	DONE	312	312	0	0
deepseek-8b	musique	oat.s45	DONE	312	312	0	0
deepseek-8b	musique	oat.s46	DONE	312	312	0	0
deepseek-8b	wikimqa	oat.s42	DONE	733	733	0	0
deepseek-8b	wikimqa	oat.s43	DONE	733	733	0	0
deepseek-8b	wikimqa	oat.s44	DONE	733	733	0	0
deepseek-8b	wikimqa	oat.s45	DONE	733	733	0	0
deepseek-8b	wikimqa	oat.s46	DONE	733	733	0	0
